ciudad,latitud,longitud
Benito Juárez,25.64724,-100.09582
La Magdalena Contreras,19.33212,-99.21118
Tonalá,20.62445,-103.23423
Zinacantepec,19.28428,-99.73394
Zapopan,20.72356,-103.38479
Coyoacán,19.3467,-99.16174
Oaxaca de Juárez,17.06542,-96.72365
Playa del Carmen,20.6274,-87.07987
Villa de Alvarez,19.26722,-103.73778
Ixtapaluca,19.31556,-98.88284
San Luis Potosí,22.14982,-100.97916
San Pedro Garza García,25.65716,-100.40268
Querétaro,20.58806,-100.38806
Naucalpan de Juárez,19.47851,-99.23963
Monterrey,25.67507,-100.31847
Ciudad Madero,19.49392,-99.11075
Cancún,21.17429,-86.84656
Apodaca,25.78195,-100.18839
Puebla,19.03793,-98.20346
Miguel Hidalgo,19.43411,-99.20024
Mérida,20.97537,-89.61696
Huixquilucan,19.35985,-99.35016
Emiliano Zapata,19.38595,-104.96526
Tampico,22.28519,-97.87777
Atizapán de Zaragoza,19.55793,-99.25675
Tlalpan,19.29513,-99.16206
Acapulco de Juárez,16.84942,-99.90891
Iztacalco,19.39528,-99.09778
Villahermosa,17.98689,-92.93028
Cuautitlán Izcalli,19.64388,-99.21598
Irapuato,20.67675,-101.35628
Epazoyucan,20.01801,-98.63623
Metepec,19.25934,-99.60175
Cuauhtémoc,19.44506,-99.14612
Alvaro Obregón,19.35867,-99.20329
Tultitlán,19.60833,-99.16944
San Pedro Cholula,19.06406,-98.30352
Venustiano Carranza,19.49392,-99.11075
Coacalco de Berriozábal,19.62923,-99.10689
Valle de Bravo,19.19501,-100.13132
Boca del Río,19.10464,-96.10405
Tlajomulco de Zúñiga,20.51806,-103.38056
León,21.12908,-101.67374
San Andrés Cholula,19.06406,-98.30352
Chihuahua,28.63528,-106.08889
San Nicolás de los Garza,25.74167,-100.30222
Santa Catarina,25.67325,-100.45813
Aguascalientes,21.88234,-102.28259
Cuernavaca,18.9261,-99.23075
Xochimilco,19.25465,-99.10356
Tlalnepantla de Baz,19.54005,-99.19538
Tequisquiapan,20.5225,-99.89167
Hermosillo,29.1026,-110.97732
Montemorelos,25.18909,-99.82865
Milpa Alta,19.19251,-99.02317
Gustavo A. Madero,19.49392,-99.11075
Morelia,19.70078,-101.18443
Tijuana,32.5027,-117.00371
Jesús María,21.72268,-104.88282
Guadalajara,20.66682,-103.39182
La Paz,24.14437,-110.3005
Chapala,24.4457,-106.97059
Cuajimalpa de Morelos,19.3692,-99.29089
Delicias,28.19013,-105.47012
Iztapalapa,19.35529,-99.06224
Calimaya,19.16324,-99.6181
Azcapotzalco,19.48698,-99.18594
Torreón,25.54389,-103.41898
Durango,24.02032,-104.65756
Los Cabos,22.89088,-109.91238
Pátzcuaro,19.51594,-101.60887
Caborca,30.71825,-112.15822
Culiacán,24.79032,-107.38782
San Luis Río Colorado,32.45612,-114.77186
