ciudades,lat,lng
Querétaro,20.8542575,-99.84756
Benito Juárez,20.8169666,-98.1782680664942
Zapopan,20.7032055,-103.4261243
San Luis Potosí,22.5000001,-100.5000001
Mérida,20.9670759,-89.6237402
Monterrey,25.63978365,-100.293101629066
Cuauhtémoc,19.4416128,-99.1518637
Alvaro Obregón,19.31815315,-99.2778365837947
Naucalpan de Juárez,19.47436575,-99.2912449087765
Atizapán de Zaragoza,19.56401705,-99.2795355780265
Miguel Hidalgo,19.42961405,-99.1986384564057
Tlalpan,19.2884203,-99.1670508
Huixquilucan,19.37093275,-99.3568074324691
Coyoacán,19.32804005,-99.1510634069359
Puebla,18.833333,-98.0
Guadalajara,20.6720375,-103.3383962
San Andrés Cholula,19.02204645,-98.2872661223453
Cancún,21.1617854,-86.8510468
Cuernavaca,18.9218274,-99.2342282
Chihuahua,28.5000001,-106.0000001
Tlalnepantla de Baz,4410.0,4410.0
Cuautitlán Izcalli,19.6577015,-99.2322829528613
Tlajomulco de Zúñiga,20.474683,-103.446359372419
Gustavo A. Madero,19.51854545,-99.1436344765031
Iztapalapa,19.3428293,-99.046891938467
Cuajimalpa de Morelos,19.3187067,-99.3232029771644
Tijuana,32.5010188,-116.9646629
Hermosillo,29.0948207,-110.9692202
Acapulco de Juárez,16.8680495,-99.8940182
Ecatepec de Morelos,19.5717968,-99.0445353416788
Toluca,19.292545,-99.6569007
Corregidora,20.47781285,-100.44124724158
Durango,24.833333,-104.833333
Metepec,19.25113375,-99.5937281303492
Azcapotzalco,19.4858148,-99.1842057302761
Morelia,19.7027116,-101.1923818
La Magdalena Contreras,19.27547005,-99.2633385835894
Guadalupe,18.0497563,-98.1549402319954
Saltillo,25.4230425,-100.9927509
San Pedro Garza García,25.6651051,-100.4022714
Venustiano Carranza,16.30898425,-92.6379347298267
Aguascalientes,21.8806553,-102.2961323
Torreón,25.5414662,-103.4531977
Pachuca,20.1165413,-98.7413535
León,21.0973352,-101.647642306618
Xochimilco,19.2634938,-99.1033663
Boca del Río,19.11300805,-96.1119502282736
Apodaca,25.7816542,-100.1887501
Tlaquepaque,20.6084288,-103.3151995
Coacalco de Berriozábal,19.6262421,-99.1030069884977
Xalapa,19.5408338,-96.9146374
San Nicolás de los Garza,25.73584235,-100.266494516522
Iztacalco,19.39897535,-99.095311970323
Tampico,22.2329889,-97.8614802
Veracruz,19.333333,-96.666667
Nezahualcóyotl,19.4021151,-99.0170173
La Paz,19.36376855,-98.9463135985561
Tultitlán,19.6168603,-99.1592731209325
San Pedro Cholula,19.07236245,-98.3223472316149
Juárez,17.7006623,-93.1978916620607
Alvarado,18.82867105,-95.9238843132054
Culiacán,24.7978965,-107.393395
Tuxtla Gutiérrez,16.74521845,-93.1418086426027
El Marqués,20.73507785,-100.283576535042
Puerto Vallarta,20.69820775,-105.181524169965
Tonalá,20.6185208,-103.222735910345
Tequisquiapan,20.54221585,-99.9478987274392
Tecámac,19.71171625,-98.9783269318855
Mazatlán,23.2313053,-106.4153144
Los Cabos,23.27184805,-109.689768413063
Cuautitlán,19.70551825,-99.166625687744
Ciudad Madero,22.2783046,-97.8242686088555
Santa Catarina,21.14133975,-100.070929691885
Temixco,18.8476735,-99.2455945082018
San Miguel de Allende,20.9139025,-100.744012
Tepic,21.5044414,-104.8946667
Yautepec,18.86529045,-99.0618808388494
Tláhuac,19.26950425,-99.0040968403251
Bahía de Banderas,20.8288596,-105.317561508363
Gral. Escobedo,23.7501449,-99.1354362
Nicolás Romero,19.63422625,-99.3695564379207
Jiutepec,18.88638935,-99.1701224011532
Emiliano Zapata,19.45696955,-96.7912765618681
Cuautlancingo,19.119366,-98.2491623581376
Playa del Carmen,20.628223,-87.075658
Ixtapaluca,19.32929,-98.8082745040643
San Juan del Río,16.8969181,-96.1473898718872
Mineral de la Reforma,20.06069985,-98.7297430086544
Lerma,19.3263632,-99.4600520175685
Santiago,25.37210935,-100.260652148285
Irapuato,20.6748936,-101.388542263391
Soledad de Graciano Sánchez,22.29705545,-100.867195609264
Huehuetoca,19.82220755,-99.270916418324
Villahermosa,16.2601617,-93.5041703
Centro,18.0271651,-92.7747767595362
Tlaxcala,19.416667,-98.166667
Colima,19.166667,-104.0
Cuautla,20.20360935,-104.4858266661
Valle de Bravo,19.1849101,-100.15126325881
Manzanillo,19.12765695,-104.284125630077
Villa de Alvarez,357.0,357.0
Atlatlahucan,18.9409472,-98.887104547482
Altamira,22.5630208,-98.1165183888334
Xochitepec,18.76533085,-99.2338980708908
Ramos Arizpe,25.540787,-100.9466688
Tultepec,19.678259,-99.1279496197527
Oaxaca de Juárez,17.0965868,-96.7207815690496
Coatzacoalcos,18.1367924,-94.3777591645784
Solidaridad,20.5843747,-87.5034526829675
Jesús María,20.64794705,-102.107573762288
Chalco,19.2382585,-98.8188837639518
Conkal,21.0750611,-89.5291213705516
García,25.8054661,-100.639646752801
San Mateo Atenco,19.26211685,-99.53700898659
Mexicali,32.6248622,-115.448325
Progreso,21.2839331,-89.6638354
Calimaya,19.1685936,-99.6442631329644
Tizayuca,19.85257935,-98.9592702755797
Córdoba,18.92397125,-96.9278108923454
Zumpango,19.81293675,-99.081809533527
Texcoco,16.571667,-97.033333
Medellín,18.99231455,-96.1377404971438
Tepotzotlán,19.7187644,-99.3069331054848
Cajeme,27.71198065,-109.902207535928
Zinacantepec,19.203879,-99.8146045680728
Ahome,191.0,191.0
Celaya,20.5222851,-100.830773928921
